date,open,close,high,low
31/12/2025,313.37,313.80,315.39,312.20
02/01/2026,317.59,315.32,322.91,310.65
05/01/2026,317.70,317.32,319.25,315.25
06/01/2026,317.31,314.55,321.56,312.34
07/01/2026,314.57,322.43,326.46,314.50
08/01/2026,329.27,326.01,330.54,321.99
09/01/2026,327.49,329.14,331.48,326.25
12/01/2026,326.50,332.73,334.44,325.51
13/01/2026,335.28,336.43,341.20,334.35
14/01/2026,334.98,336.31,337.03,331.14
15/01/2026,338.05,333.16,338.13,331.29
16/01/2026,334.93,330.34,335.24,328.17
20/01/2026,321.24,322.16,328.09,320.89
21/01/2026,321.10,328.38,332.73,319.54
22/01/2026,334.27,330.84,335.21,328.88
23/01/2026,332.65,328.43,334.03,327.97
26/01/2026,328.20,333.59,336.35,327.49
27/01/2026,335.63,335.00,338.21,333.75
28/01/2026,336.61,336.28,337.63,332.13
29/01/2026,340.35,338.66,342.29,326.72
30/01/2026,334.46,338.53,340.29,332.64
02/02/2026,336.55,344.90,345.17,336.01
03/02/2026,348.52,340.70,350.15,338.59
04/02/2026,343.76,333.34,344.25,329.37
05/02/2026,313.20,331.33,332.64,306.92
06/02/2026,327.35,323.10,330.64,320.15
09/02/2026,321.24,324.40,327.74,317.70
10/02/2026,320.91,318.63,321.63,314.66
11/02/2026,318.96,311.33,321.05,310.13
12/02/2026,312.35,309.37,316.48,308.15
13/02/2026,307.98,306.02,308.89,303.90
17/02/2026,300.64,302.82,304.89,296.90
18/02/2026,302.43,303.94,305.91,301.98
19/02/2026,302.52,303.56,306.03,300.67
20/02/2026,304.80,314.90,316.76,304.42
23/02/2026,319.14,311.69,319.45,309.99
24/02/2026,310.64,310.92,312.37,306.09
25/02/2026,312.12,313.03,313.66,309.36
26/02/2026,312.80,307.15,313.00,302.41
27/02/2026,303.94,311.43,312.08,303.59
02/03/2026,302.96,306.36,308.14,301.06
03/03/2026,298.42,303.56,303.94,296.70
04/03/2026,302.68,303.45,305.46,300.80
05/03/2026,303.20,300.91,303.37,298.07
06/03/2026,296.07,298.30,300.33,295.25
09/03/2026,294.14,306.01,306.50,293.93
10/03/2026,305.88,306.93,309.15,305.31
11/03/2026,306.30,308.42,311.07,305.84
12/03/2026,306.21,303.21,308.64,300.84
13/03/2026,306.65,301.46,307.26,299.78
16/03/2026,303.60,304.42,305.57,301.81
17/03/2026,304.67,309.41,310.05,304.35
18/03/2026,307.90,306.30,310.75,305.55
19/03/2026,303.21,305.73,306.68,301.00
20/03/2026,304.07,298.79,304.37,296.75
23/03/2026,300.53,299.02,303.37,298.03
24/03/2026,296.21,289.20,297.10,288.86
25/03/2026,292.15,289.59,294.66,287.37
26/03/2026,286.19,280.74,286.52,279.05
27/03/2026,277.40,273.76,279.09,273.48
30/03/2026,275.44,273.14,276.26,271.54
31/03/2026,277.54,286.86,287.05,276.76
01/04/2026,289.98,294.90,297.98,289.47
02/04/2026,288.99,294.46,295.90,287.57
06/04/2026,294.70,297.66,298.42,293.79
07/04/2026,300.14,303.93,304.10,295.42
08/04/2026,317.83,314.74,319.39,312.70
09/04/2026,313.19,316.37,317.43,309.47
10/04/2026,318.23,315.72,319.50,314.54
13/04/2026,315.42,319.21,319.43,313.69
14/04/2026,322.07,330.58,330.64,321.15
15/04/2026,330.56,334.47,335.00,328.66
16/04/2026,335.85,332.77,337.38,331.65
17/04/2026,334.43,339.40,339.98,333.29
20/04/2026,338.56,335.40,339.16,334.63
21/04/2026,335.58,330.47,337.17,329.63
22/04/2026,334.89,337.73,338.03,332.96
23/04/2026,339.58,337.75,340.16,335.06
24/04/2026,337.72,342.32,343.69,334.05
27/04/2026,343.88,348.52,350.90,340.81
28/04/2026,346.92,347.50,349.90,344.28
29/04/2026,345.48,347.31,353.40,342.43
30/04/2026,371.26,381.94,382.63,363.09
01/05/2026,377.98,383.22,383.39,375.26
04/05/2026,382.32,379.64,384.18,376.77
05/05/2026,381.87,384.27,388.96,380.35
06/05/2026,389.59,395.14,396.38,387.10
07/05/2026,397.06,395.30,397.36,390.31
08/05/2026,394.27,397.05,398.37,393.67
11/05/2026,390.69,386.77,394.33,386.23
12/05/2026,385.00,383.82,386.44,379.72
13/05/2026,381.90,399.04,399.93,381.58
14/05/2026,393.79,397.17,399.10,392.73
15/05/2026,393.21,393.32,395.88,389.76
18/05/2026,392.12,393.11,404.47,390.90
19/05/2026,393.30,384.90,393.36,383.00
20/05/2026,385.04,384.90,390.70,380.00
21/05/2026,382.01,383.47,388.68,379.48
22/05/2026,383.26,379.38,384.87,378.26
26/05/2026,380.99,384.84,385.39,379.14
27/05/2026,382.77,384.83,389.73,382.00
28/05/2026,383.86,386.12,390.00,381.25
29/05/2026,381.23,376.43,381.65,374.30
01/06/2026,372.58,372.58,374.60,369.71
02/06/2026,363.16,358.39,369.79,355.00
03/06/2026,358.33,355.68,362.50,354.38
04/06/2026,355.44,369.27,369.86,354.80
05/06/2026,363.38,365.76,369.20,361.63
08/06/2026,362.48,361.17,363.38,357.89
09/06/2026,364.89,362.29,369.69,354.72
10/06/2026,361.05,353.32,366.31,352.81
11/06/2026,353.05,356.56,358.01,343.63
12/06/2026,361.10,358.16,364.77,353.34
15/06/2026,365.99,367.11,370.65,364.65
16/06/2026,367.46,371.10,373.60,365.32
17/06/2026,367.05,362.10,370.15,360.23
18/06/2026,363.89,367.46,369.00,356.61
22/06/2026,357.14,348.78,358.20,340.94
23/06/2026,340.11,346.08,348.72,339.71
24/06/2026,348.72,345.04,352.83,341.50
25/06/2026,336.92,342.19,343.19,335.90
26/06/2026,340.98,334.69,344.12,333.69
29/06/2026,339.95,351.28,351.97,338.81
30/06/2026,350.96,353.33,355.39,348.11
01/07/2026,354.61,357.89,359.56,353.23
02/07/2026,356.15,356.18,360.99,350.32
06/07/2026,358.20,364.90,365.68,354.19
07/07/2026,367.23,363.62,370.89,362.42
08/07/2026,362.21,358.71,364.98,354.70
09/07/2026,351.08,356.24,356.73,348.66
10/07/2026,354.95,355.03,355.68,350.70
13/07/2026,353.99,350.67,355.75,349.82
14/07/2026,348.84,357.33,357.88,348.84
15/07/2026,356.01,370.21,372.14,355.67
16/07/2026,372.17,353.81,374.35,351.67
17/07/2026,345.77,346.12,348.17,341.12
20/07/2026,350.17,351.37,359.49,350.01
21/07/2026,350.56,346.19,350.74,346.01
22/07/2026,347.18,341.91,349.45,341.64
23/07/2026,321.63,318.34,324.45,314.89
24/07/2026,318.30,319.09,323.98,317.50
27/07/2026,324.74,326.57,330.10,324.41
28/07/2026,327.80,332.60,335.21,324.54
29/07/2026,333.50,335.76,341.98,330.41
30/07/2026,333.08,333.68,335.45,329.82
31/07/2026,340.07,356.65,358.88,339.16
03/08/2026,365.30,372.47,376.10,363.26
04/08/2026,366.52,375.35,377.67,366.16
05/08/2026,380.00,360.13,381.81,355.16
06/08/2026,358.79,357.14,361.96,356.60
